,Topic Number,Topic Name,Sub-Category,Paper Index,File name,Year,Paper name,Authors
0,1,Conceptual Understanding,Misconceptions,751,10.1119_perc.2013.pr.022.pdf,2013,Student Understanding of Blackbody Radiation and Its Application to Everyday Objects,"Paul J. Emigh, Gina Passante, and Peter S. Shaffer"
1,1,Conceptual Understanding,Misconceptions,124,10.1063_1.2084705.pdf,2004,Student Understanding Of Gravitational Potential Energy And The Motion Of Bodies In A Gravitational Field,Michael E. Loverude
2,1,Conceptual Understanding,Misconceptions,1186,10.1119_perc.2017.pr.099.pdf,2017,The Prevalence of Selected Buoyancy Alternate Conceptions at Two Colleges,Doris J. Wagner and Peter S. Shaffer
3,1,Conceptual Understanding,Misconceptions,692,10.1063_1.4789718.pdf,2012,Students’ Conceptions About Rolling In Multiple Contexts,N. Sanjay Rebello and Carina M. Rebello
4,1,Conceptual Understanding,Conceptual Resources,1056,10.1119_perc.2016.pr.072.pdf,2016,Introductory Physics Students' Epistemological Resources,Erin M. Scanlon
5,1,Conceptual Understanding,Conceptual Resources,1119,10.1119_perc.2017.pr.032.pdf,2017,Student conceptual resources for understanding mechanical wave propagation,"Lisa M. Goodhew, Amy D. Robertson, Paula R. L. Heron, and Rachel E. Scherr"
6,1,Conceptual Understanding,Conceptual Resources,1435,10.1119_perc.2020.pr.Bauman.pdf,2020,Identifying student conceptual resources for understanding electric current,"L. C. Bauman, J. Corcoran, L. M. Goodhew,  A. Robertson"
7,1,Conceptual Understanding,Conceptual Resources,54,10.1119_perc.2002.pr.019.pdf,2002,Student Epistemological Mode Constraining Researcher Access to Student Thinking: An Example from an Interview on Charge Flow,Michael C. Wittmann and Rachel E. Scherr
8,1,Conceptual Understanding,Ontologies,749,10.1119_perc.2013.pr.020.pdf,2013,Negative Energy: Why Interdisciplinary Physics Requires Multiple Ontologies,"Benjamin W. Dreyfus, Benjamin D. Geller, Julia Gouvea, Vashti Sawtelle, Chandra Turpen, and Edward F. Redish"
9,1,Conceptual Understanding,Ontologies,602,10.1063_1.3680065.pdf,2011,Intuitive ontologies for energy in physics,"Rachel E. Scherr, Hunter G. Close, and Sarah B. McKagan"
10,1,Conceptual Understanding,Ontologies,1241,10.1119_perc.2018.pr.Hoehn.pdf,2018,Dynamics of students' ontological reasoning across contexts in modern physics,"Jessica R. Hoehn, Julian D. Gifford, and Noah D. Finkelstein"
